user_id,total_events,unique_sessions,purchases,total_spent,active_days,events_per_session,spending_per_session,purchase_rate_per_session,add_to_carts,checkout_completion_rate,unique_products_total,dominant_category_share,dominant_category,dominant_device,segment
U00021,55,11,1,108.25,4,5.0,9.840909090909092,0.09090909090909091,11.0,0.09090909090909091,1.0,1.0,Electronics,tablet,0
U00022,90,19,3,507.67,6,4.7368421052631575,26.719473684210527,0.15789473684210525,16.0,0.1875,3.0,0.74073709299348,Home,desktop,0
U00023,57,12,2,435.47,4,4.75,36.28916666666667,0.16666666666666666,10.0,0.2,2.0,1.0,Electronics,desktop,0
U00024,70,16,3,464.13,4,4.375,29.008125,0.1875,16.0,0.1875,3.0,0.5113007131622606,Electronics,desktop,0
U00025,71,16,0,0.0,4,4.4375,0.0,0.0,18.0,0.0,,,Home,mobile,2
U00026,60,14,0,0.0,4,4.285714285714286,0.0,0.0,11.0,0.0,,,Electronics,desktop,2
U00027,60,11,1,254.68,2,5.454545454545454,23.152727272727272,0.09090909090909091,16.0,0.0625,1.0,1.0,Electronics,mobile,0
U00028,38,10,4,832.3000000000001,5,3.8,83.23,0.4,9.0,0.4444444444444444,4.0,1.0,Home,mobile,1
U00029,67,16,3,703.5,6,4.1875,43.96875,0.1875,16.0,0.1875,3.0,1.0,Electronics,mobile,0
U00030,53,12,3,429.86,2,4.416666666666667,35.821666666666665,0.25,8.0,0.375,3.0,0.6443027962592471,Electronics,desktop,1
U00031,59,12,2,453.48,5,4.916666666666667,37.79,0.16666666666666666,9.0,0.2222222222222222,2.0,0.5263958719237893,Electronics,mobile,0
U00032,84,17,7,1279.93,3,4.9411764705882355,75.29,0.4117647058823529,13.0,0.5384615384615384,7.0,0.6598954630331346,Electronics,mobile,1
U00033,76,16,2,296.98,4,4.75,18.56125,0.125,22.0,0.09090909090909091,2.0,0.716445551889016,Home,desktop,0
U00034,78,19,3,292.74,5,4.105263157894737,15.407368421052633,0.15789473684210525,15.0,0.2,3.0,1.0,Electronics,tablet,0
U00035,64,14,4,577.64,3,4.571428571428571,41.26,0.2857142857142857,14.0,0.2857142857142857,4.0,0.5657502943009487,Home,desktop,1
U00036,54,11,8,1791.15,6,4.909090909090909,162.8318181818182,0.7272727272727273,10.0,0.8,6.0,0.5844010831030343,Electronics,desktop,1
U00037,86,19,4,877.26,5,4.526315789473684,46.171578947368424,0.21052631578947367,20.0,0.2,4.0,1.0,Electronics,mobile,0
U00038,84,18,4,886.79,2,4.666666666666667,49.26611111111111,0.2222222222222222,19.0,0.21052631578947367,4.0,0.5119475862380045,Home,tablet,0
U00039,87,19,5,854.4,2,4.578947368421052,44.96842105263158,0.2631578947368421,16.0,0.3125,5.0,0.8298220973782772,Home,desktop,1
U00040,36,10,3,385.33,4,3.6,38.533,0.3,7.0,0.42857142857142855,3.0,1.0,Home,desktop,1
U00041,70,16,0,0.0,5,4.375,0.0,0.0,16.0,0.0,,,Electronics,desktop,2
U00042,74,17,1,191.55,2,4.352941176470588,11.26764705882353,0.058823529411764705,18.0,0.05555555555555555,1.0,1.0,Electronics,desktop,0
U00043,53,10,3,767.25,6,5.3,76.725,0.3,16.0,0.1875,3.0,1.0,Home,tablet,0
U00044,72,14,4,857.8499999999999,5,5.142857142857143,61.27499999999999,0.2857142857142857,16.0,0.25,4.0,0.7126770414408113,Home,mobile,1
U00045,51,12,2,343.8,6,4.25,28.650000000000002,0.16666666666666666,9.0,0.2222222222222222,2.0,0.5140779522978476,Home,desktop,0
U00046,64,15,3,746.5799999999999,4,4.266666666666667,49.772,0.2,12.0,0.25,3.0,0.6144686436818559,Electronics,mobile,0
U00047,57,14,4,853.87,5,4.071428571428571,60.99071428571428,0.2857142857142857,10.0,0.4,4.0,0.5687048379729935,Home,desktop,1
U00048,71,17,1,149.05,7,4.176470588235294,8.76764705882353,0.058823529411764705,13.0,0.07692307692307693,1.0,1.0,Electronics,mobile,0
U00049,83,15,5,901.47,4,5.533333333333333,60.098,0.3333333333333333,16.0,0.3125,5.0,0.744361986533107,Home,tablet,1
U00050,67,12,1,119.86,6,5.583333333333333,9.988333333333333,0.08333333333333333,9.0,0.1111111111111111,1.0,1.0,Electronics,tablet,0
U00051,59,12,2,335.56,5,4.916666666666667,27.963333333333335,0.16666666666666666,11.0,0.18181818181818182,2.0,1.0,Electronics,tablet,0
U00052,42,12,2,211.45,3,3.5,17.620833333333334,0.16666666666666666,12.0,0.16666666666666666,2.0,1.0,Home,mobile,0
U00053,69,13,4,664.29,2,5.3076923076923075,51.099230769230765,0.3076923076923077,15.0,0.26666666666666666,4.0,0.5864155715124418,Home,tablet,1
U00054,80,18,6,1234.89,5,4.444444444444445,68.605,0.3333333333333333,11.0,0.5454545454545454,6.0,0.7584319251107385,Home,mobile,1
U00055,59,11,3,383.83000000000004,3,5.363636363636363,34.89363636363637,0.2727272727272727,12.0,0.25,3.0,0.7855561055675689,Electronics,tablet,0
U00056,76,17,5,718.4200000000001,6,4.470588235294118,42.260000000000005,0.29411764705882354,12.0,0.4166666666666667,5.0,1.0,Electronics,mobile,1
U00057,40,11,1,205.87,2,3.6363636363636362,18.715454545454545,0.09090909090909091,8.0,0.125,1.0,1.0,Electronics,desktop,0
U00058,60,12,4,746.1800000000001,2,5.0,62.18166666666667,0.3333333333333333,14.0,0.2857142857142857,4.0,0.6533544185049183,Electronics,mobile,1
U00059,93,18,2,315.21000000000004,5,5.166666666666667,17.51166666666667,0.1111111111111111,24.0,0.08333333333333333,2.0,0.5167031502807652,Electronics,mobile,0
U00060,85,19,6,697.52,3,4.473684210526316,36.71157894736842,0.3157894736842105,19.0,0.3157894736842105,6.0,1.0,Home,desktop,1
U00061,66,16,2,450.66999999999996,5,4.125,28.166874999999997,0.125,11.0,0.18181818181818182,2.0,1.0,Electronics,mobile,0
U00062,43,11,2,378.4,2,3.909090909090909,34.4,0.18181818181818182,14.0,0.14285714285714285,2.0,1.0,Electronics,desktop,0
U00063,90,19,2,487.77,6,4.7368421052631575,25.672105263157892,0.10526315789473684,20.0,0.1,2.0,1.0,Home,tablet,0
U00064,58,16,1,82.64,5,3.625,5.165,0.0625,13.0,0.07692307692307693,1.0,1.0,Home,tablet,0
U00065,44,11,3,546.13,4,4.0,49.64818181818182,0.2727272727272727,7.0,0.42857142857142855,3.0,0.7782213026202552,Home,mobile,1
U00066,85,19,2,307.87,6,4.473684210526316,16.203684210526315,0.10526315789473684,21.0,0.09523809523809523,2.0,0.5293792834637996,Home,desktop,0
U00067,68,14,8,1328.5,2,4.857142857142857,94.89285714285714,0.5714285714285714,10.0,0.8,8.0,0.5544298080541964,Electronics,tablet,1
U00068,67,17,4,777.47,5,3.9411764705882355,45.73352941176471,0.23529411764705882,13.0,0.3076923076923077,4.0,0.5986468931277091,Home,desktop,1
U00069,73,15,1,128.47,5,4.866666666666666,8.564666666666666,0.06666666666666667,11.0,0.09090909090909091,1.0,1.0,Home,mobile,0
U00070,59,13,2,391.12,4,4.538461538461538,30.086153846153845,0.15384615384615385,5.0,0.4,2.0,1.0,Home,desktop,0
U00071,67,15,0,0.0,6,4.466666666666667,0.0,0.0,12.0,0.0,,,Electronics,desktop,2
U00072,87,19,2,383.52,4,4.578947368421052,20.185263157894735,0.10526315789473684,12.0,0.16666666666666666,2.0,1.0,Electronics,tablet,0
U00073,80,19,4,969.76,2,4.2105263157894735,51.04,0.21052631578947367,14.0,0.2857142857142857,4.0,0.5444027388219767,Home,mobile,1
U00074,71,16,6,1042.17,5,4.4375,65.135625,0.375,13.0,0.46153846153846156,6.0,0.7766487233368835,Electronics,desktop,1
U00075,53,14,1,125.44,6,3.7857142857142856,8.959999999999999,0.07142857142857142,17.0,0.058823529411764705,1.0,1.0,Home,desktop,0
U00076,57,13,3,683.24,7,4.384615384615385,52.55692307692308,0.23076923076923078,12.0,0.25,3.0,0.797567472630408,Electronics,desktop,0
U00077,57,12,2,292.39,4,4.75,24.36583333333333,0.16666666666666666,11.0,0.18181818181818182,2.0,1.0,Electronics,mobile,0
U00078,77,17,4,671.13,7,4.529411764705882,39.478235294117646,0.23529411764705882,18.0,0.2222222222222222,4.0,0.6863498875031663,Home,desktop,0
U00079,78,17,1,237.93,2,4.588235294117647,13.995882352941177,0.058823529411764705,17.0,0.058823529411764705,1.0,1.0,Home,mobile,0
U00080,81,18,3,587.5,4,4.5,32.638888888888886,0.16666666666666666,16.0,0.1875,3.0,0.7641872340425532,Home,desktop,0
U00081,63,12,2,396.40999999999997,6,5.25,33.034166666666664,0.16666666666666666,10.0,0.2,2.0,1.0,Home,tablet,0
U00082,67,13,2,357.06,6,5.153846153846154,27.466153846153848,0.15384615384615385,14.0,0.14285714285714285,2.0,0.5859519408502772,Electronics,mobile,0
U00083,47,11,0,0.0,4,4.2727272727272725,0.0,0.0,10.0,0.0,,,Electronics,desktop,2
U00084,73,19,1,169.74,3,3.8421052631578947,8.933684210526316,0.05263157894736842,16.0,0.0625,1.0,1.0,Electronics,mobile,0
U00085,66,13,7,1234.26,5,5.076923076923077,94.94307692307692,0.5384615384615384,13.0,0.5384615384615384,7.0,0.7065529142968255,Home,mobile,1
U00086,79,18,5,730.43,3,4.388888888888889,40.57944444444444,0.2777777777777778,18.0,0.2777777777777778,5.0,0.5810139233054502,Electronics,desktop,1
U00087,49,11,1,263.69,4,4.454545454545454,23.971818181818183,0.09090909090909091,9.0,0.1111111111111111,1.0,1.0,Home,mobile,0
U00088,69,16,5,1061.1,6,4.3125,66.31875,0.3125,12.0,0.4166666666666667,5.0,0.6220054660258223,Home,tablet,1
U00089,69,16,2,385.02000000000004,4,4.3125,24.063750000000002,0.125,18.0,0.1111111111111111,2.0,1.0,Electronics,desktop,0
U00090,56,12,4,943.87,5,4.666666666666667,78.65583333333333,0.3333333333333333,10.0,0.4,4.0,1.0,Electronics,tablet,1
U00091,44,15,2,413.93,6,2.933333333333333,27.595333333333333,0.13333333333333333,7.0,0.2857142857142857,2.0,1.0,Electronics,tablet,0
U00092,64,12,2,455.25,4,5.333333333333333,37.9375,0.16666666666666666,12.0,0.16666666666666666,2.0,1.0,Electronics,tablet,0
U00093,77,18,1,211.84,3,4.277777777777778,11.768888888888888,0.05555555555555555,19.0,0.05263157894736842,1.0,1.0,Electronics,tablet,0
U00094,75,16,3,482.22,5,4.6875,30.13875,0.1875,22.0,0.13636363636363635,3.0,0.5170254240802953,Home,desktop,0
U00095,79,18,1,245.15,2,4.388888888888889,13.619444444444445,0.05555555555555555,24.0,0.041666666666666664,1.0,1.0,Electronics,desktop,0
U00096,103,19,2,330.73,3,5.421052631578948,17.40684210526316,0.10526315789473684,21.0,0.09523809523809523,2.0,0.6433949142805309,Home,desktop,0
U00097,52,13,4,718.89,2,4.0,55.29923076923077,0.3076923076923077,8.0,0.5,4.0,0.6320994867086758,Home,mobile,1
U00098,75,19,4,938.25,6,3.9473684210526314,49.38157894736842,0.21052631578947367,14.0,0.2857142857142857,4.0,1.0,Electronics,tablet,0
U00099,43,11,3,631.75,4,3.909090909090909,57.43181818181818,0.2727272727272727,10.0,0.3,3.0,1.0,Home,mobile,0
U00100,64,13,2,200.62,4,4.923076923076923,15.432307692307692,0.15384615384615385,15.0,0.13333333333333333,2.0,1.0,Home,desktop,0
U00101,66,13,7,1210.19,7,5.076923076923077,93.09153846153846,0.5384615384615384,11.0,0.6363636363636364,7.0,0.552392599509168,Home,desktop,1
U00102,85,17,1,194.44,4,5.0,11.43764705882353,0.058823529411764705,14.0,0.07142857142857142,1.0,1.0,Electronics,desktop,0
U00103,83,16,4,1022.3199999999999,5,5.1875,63.894999999999996,0.25,22.0,0.18181818181818182,4.0,1.0,Electronics,tablet,0
U00104,55,10,5,1059.5,5,5.5,105.95,0.5,7.0,0.7142857142857143,5.0,0.8732609721566778,Electronics,tablet,1
U00105,60,14,2,399.77,6,4.285714285714286,28.555,0.14285714285714285,12.0,0.16666666666666666,2.0,1.0,Home,desktop,0
U00106,59,14,2,416.94000000000005,3,4.214285714285714,29.781428571428574,0.14285714285714285,13.0,0.15384615384615385,2.0,0.6667146351993092,Home,desktop,0
U00107,55,12,4,825.55,5,4.583333333333333,68.79583333333333,0.3333333333333333,8.0,0.5,4.0,1.0,Electronics,desktop,1
U00108,75,19,1,297.19,3,3.9473684210526314,15.641578947368421,0.05263157894736842,10.0,0.1,1.0,1.0,Electronics,mobile,0
U00109,63,13,5,929.65,3,4.846153846153846,71.51153846153846,0.38461538461538464,12.0,0.4166666666666667,5.0,0.5051363416339483,Electronics,tablet,1
U00110,71,16,6,1228.99,7,4.4375,76.811875,0.375,10.0,0.6,6.0,0.9274119398855971,Electronics,desktop,1
U00111,81,17,2,394.03,7,4.764705882352941,23.178235294117645,0.11764705882352941,11.0,0.18181818181818182,2.0,1.0,Home,mobile,0
U00112,54,14,1,236.45,2,3.857142857142857,16.889285714285712,0.07142857142857142,10.0,0.1,1.0,1.0,Electronics,desktop,0
U00113,53,10,4,750.24,2,5.3,75.024,0.4,8.0,0.5,4.0,0.5586612284069098,Home,desktop,1
U00114,85,17,1,96.74,7,5.0,5.6905882352941175,0.058823529411764705,15.0,0.06666666666666667,1.0,1.0,Home,desktop,0
U00115,62,14,2,402.77,7,4.428571428571429,28.76928571428571,0.14285714285714285,12.0,0.16666666666666666,2.0,0.6579437396032476,Home,mobile,0
U00116,53,13,3,602.26,3,4.076923076923077,46.32769230769231,0.23076923076923078,11.0,0.2727272727272727,3.0,1.0,Home,desktop,0
U00117,52,13,3,387.01,4,4.0,29.77,0.23076923076923078,9.0,0.3333333333333333,3.0,1.0,Home,desktop,0
U00118,72,17,2,259.84000000000003,5,4.235294117647059,15.284705882352943,0.11764705882352941,10.0,0.2,2.0,1.0,Home,tablet,0
U00119,55,12,3,515.98,5,4.583333333333333,42.998333333333335,0.25,12.0,0.25,3.0,1.0,Home,desktop,0
U00120,69,16,2,263.65,3,4.3125,16.478125,0.125,4.0,0.5,2.0,1.0,Home,tablet,0
U00121,50,11,2,477.64,5,4.545454545454546,43.42181818181818,0.18181818181818182,12.0,0.16666666666666666,2.0,1.0,Home,desktop,0
U00122,44,12,3,572.51,4,3.6666666666666665,47.70916666666667,0.25,8.0,0.375,3.0,0.7069046828876351,Home,mobile,0
U00123,83,17,2,359.35,4,4.882352941176471,21.13823529411765,0.11764705882352941,18.0,0.1111111111111111,2.0,0.7046055377765409,Electronics,mobile,0
U00124,78,17,6,1099.81,2,4.588235294117647,64.69470588235293,0.35294117647058826,10.0,0.6,6.0,0.5904474409216137,Home,tablet,1
U00125,76,18,6,891.72,4,4.222222222222222,49.54,0.3333333333333333,10.0,0.6,5.0,0.7582424976450006,Home,tablet,1
U00126,58,13,0,0.0,2,4.461538461538462,0.0,0.0,14.0,0.0,,,Electronics,tablet,2
U00127,80,16,2,337.3,3,5.0,21.08125,0.125,15.0,0.13333333333333333,2.0,0.7051289653127779,Electronics,mobile,0
U00128,87,19,7,1360.73,4,4.578947368421052,71.61736842105263,0.3684210526315789,19.0,0.3684210526315789,7.0,0.6332336319475576,Electronics,desktop,1
U00129,47,11,3,641.78,2,4.2727272727272725,58.343636363636364,0.2727272727272727,11.0,0.2727272727272727,3.0,0.8228676493502445,Home,desktop,0
U00130,73,15,4,771.25,4,4.866666666666666,51.416666666666664,0.26666666666666666,17.0,0.23529411764705882,4.0,1.0,Electronics,tablet,0
U00131,55,11,5,974.65,5,5.0,88.60454545454546,0.45454545454545453,9.0,0.5555555555555556,5.0,1.0,Electronics,mobile,1
U00132,86,18,0,0.0,6,4.777777777777778,0.0,0.0,20.0,0.0,,,Home,tablet,2
U00133,59,12,2,318.52,2,4.916666666666667,26.543333333333333,0.16666666666666666,12.0,0.16666666666666666,2.0,1.0,Electronics,desktop,0
U00134,76,14,3,435.52,6,5.428571428571429,31.108571428571427,0.21428571428571427,14.0,0.21428571428571427,3.0,0.7154665686994857,Electronics,tablet,0
U00135,50,11,1,297.86,2,4.545454545454546,27.078181818181818,0.09090909090909091,11.0,0.09090909090909091,1.0,1.0,Home,desktop,0
U00136,42,11,5,777.37,5,3.8181818181818183,70.67,0.45454545454545453,9.0,0.5555555555555556,4.0,0.7898684024338475,Home,mobile,1
U00137,81,19,0,0.0,5,4.2631578947368425,0.0,0.0,14.0,0.0,,,Electronics,mobile,2
U00138,61,12,9,1953.76,2,5.083333333333333,162.81333333333333,0.75,12.0,0.75,8.0,0.536355540086807,Home,mobile,1
U00139,49,11,4,804.98,4,4.454545454545454,73.18,0.36363636363636365,7.0,0.5714285714285714,4.0,0.533578473999354,Home,mobile,1
U00140,56,11,1,156.58,3,5.090909090909091,14.234545454545456,0.09090909090909091,11.0,0.09090909090909091,1.0,1.0,Home,mobile,0
U00141,62,13,1,168.9,3,4.769230769230769,12.992307692307692,0.07692307692307693,16.0,0.0625,1.0,1.0,Electronics,mobile,0
U00142,55,11,2,332.16999999999996,4,5.0,30.197272727272722,0.18181818181818182,13.0,0.15384615384615385,2.0,1.0,Home,tablet,0
U00143,63,13,6,1164.74,4,4.846153846153846,89.59538461538462,0.46153846153846156,11.0,0.5454545454545454,6.0,0.7833164483060597,Home,tablet,1
U00144,42,10,0,0.0,3,4.2,0.0,0.0,12.0,0.0,,,Electronics,desktop,2
U00145,65,14,5,881.97,3,4.642857142857143,62.99785714285714,0.35714285714285715,17.0,0.29411764705882354,5.0,0.5375919815866752,Home,desktop,1
U00146,87,19,1,299.28,2,4.578947368421052,15.75157894736842,0.05263157894736842,18.0,0.05555555555555555,1.0,1.0,Electronics,mobile,0
U00147,45,10,2,391.12,5,4.5,39.112,0.2,12.0,0.16666666666666666,2.0,0.6925751687461649,Home,mobile,0
U00148,94,19,4,812.5500000000001,3,4.947368421052632,42.765789473684215,0.21052631578947367,19.0,0.21052631578947367,4.0,1.0,Home,tablet,0
U00149,68,14,1,108.95,6,4.857142857142857,7.7821428571428575,0.07142857142857142,17.0,0.058823529411764705,1.0,1.0,Home,mobile,0
U00150,47,11,3,474.97999999999996,6,4.2727272727272725,43.18,0.2727272727272727,14.0,0.21428571428571427,3.0,1.0,Electronics,tablet,0
U00151,68,16,3,518.78,7,4.25,32.42375,0.1875,14.0,0.21428571428571427,3.0,1.0,Home,tablet,0
U00152,90,19,3,429.99,5,4.7368421052631575,22.63105263157895,0.15789473684210525,14.0,0.21428571428571427,3.0,1.0,Electronics,mobile,0
U00153,69,15,4,621.02,2,4.6,41.40133333333333,0.26666666666666666,14.0,0.2857142857142857,4.0,0.8101027342114586,Home,tablet,1
U00154,31,10,1,279.86,4,3.1,27.986,0.1,5.0,0.2,1.0,1.0,Home,mobile,0
U00155,68,18,4,758.6,3,3.7777777777777777,42.144444444444446,0.2222222222222222,14.0,0.2857142857142857,4.0,0.5210387556024255,Electronics,tablet,1
U00156,63,15,2,350.71,4,4.2,23.380666666666666,0.13333333333333333,7.0,0.2857142857142857,2.0,1.0,Electronics,mobile,0
U00157,69,14,2,354.33,7,4.928571428571429,25.309285714285714,0.14285714285714285,13.0,0.15384615384615385,2.0,0.7295741258149183,Home,tablet,0
U00158,70,13,3,432.93,3,5.384615384615385,33.30230769230769,0.23076923076923078,20.0,0.15,2.0,0.6146952163167255,Home,mobile,0
U00159,50,11,1,98.36,4,4.545454545454546,8.941818181818181,0.09090909090909091,8.0,0.125,1.0,1.0,Home,tablet,0
U00160,60,13,4,597.12,2,4.615384615384615,45.932307692307695,0.3076923076923077,8.0,0.5,4.0,0.8002244105037513,Electronics,mobile,1
U00161,40,10,3,587.53,4,4.0,58.753,0.3,8.0,0.375,3.0,0.6690892379963577,Electronics,desktop,1
U00162,59,16,2,409.48,5,3.6875,25.5925,0.125,19.0,0.10526315789473684,2.0,0.574387027449448,Electronics,tablet,0
U00163,51,12,3,718.87,7,4.25,59.905833333333334,0.25,8.0,0.375,3.0,0.5931948752903863,Home,tablet,0
U00164,72,15,5,818.52,2,4.8,54.568,0.3333333333333333,17.0,0.29411764705882354,5.0,0.6588843278111713,Electronics,tablet,1
U00165,80,19,4,861.5699999999999,4,4.2105263157894735,45.345789473684206,0.21052631578947367,15.0,0.26666666666666666,4.0,1.0,Electronics,desktop,0
U00166,45,12,2,306.8,7,3.75,25.566666666666666,0.16666666666666666,8.0,0.25,2.0,1.0,Electronics,mobile,0
U00167,50,12,2,436.87,3,4.166666666666667,36.405833333333334,0.16666666666666666,9.0,0.2222222222222222,2.0,0.6257925698720442,Electronics,desktop,0
U00168,76,18,4,789.49,3,4.222222222222222,43.86055555555556,0.2222222222222222,15.0,0.26666666666666666,4.0,0.6969182636892172,Home,mobile,0
U00169,78,17,6,1330.98,6,4.588235294117647,78.29294117647059,0.35294117647058826,15.0,0.4,6.0,0.9242813565943891,Electronics,mobile,1
U00170,98,18,4,810.19,4,5.444444444444445,45.010555555555555,0.2222222222222222,19.0,0.21052631578947367,4.0,1.0,Electronics,desktop,0
U00171,51,12,1,111.72,3,4.25,9.31,0.08333333333333333,15.0,0.06666666666666667,1.0,1.0,Home,tablet,0
U00172,80,17,2,347.89,7,4.705882352941177,20.464117647058824,0.11764705882352941,14.0,0.14285714285714285,2.0,0.6336485670757999,Electronics,tablet,0
U00173,71,15,1,262.94,5,4.733333333333333,17.529333333333334,0.06666666666666667,14.0,0.07142857142857142,1.0,1.0,Home,tablet,0
U00174,43,10,2,467.4,6,4.3,46.739999999999995,0.2,7.0,0.2857142857142857,2.0,1.0,Electronics,desktop,0
U00175,61,14,2,333.45,4,4.357142857142857,23.817857142857143,0.14285714285714285,16.0,0.125,2.0,0.7369920527815265,Electronics,desktop,0
U00176,78,16,4,723.65,3,4.875,45.228125,0.25,11.0,0.36363636363636365,4.0,0.551219512195122,Electronics,tablet,1
U00177,69,14,2,372.81,5,4.928571428571429,26.629285714285714,0.14285714285714285,11.0,0.18181818181818182,2.0,1.0,Home,desktop,0
U00178,51,12,2,226.21999999999997,4,4.25,18.851666666666663,0.16666666666666666,15.0,0.13333333333333333,2.0,1.0,Home,mobile,0
U00179,74,17,3,572.4100000000001,5,4.352941176470588,33.67117647058824,0.17647058823529413,20.0,0.15,3.0,0.8019426634754808,Electronics,desktop,0
U00180,84,17,3,673.6,3,4.9411764705882355,39.62352941176471,0.17647058823529413,21.0,0.14285714285714285,3.0,1.0,Home,desktop,0
U00181,84,17,5,911.98,4,4.9411764705882355,53.64588235294118,0.29411764705882354,20.0,0.25,5.0,0.568839228930459,Electronics,tablet,1
U00182,50,12,3,672.14,5,4.166666666666667,56.01166666666666,0.25,10.0,0.3,3.0,1.0,Home,tablet,0
U00183,47,13,2,502.8,5,3.6153846153846154,38.676923076923075,0.15384615384615385,8.0,0.25,2.0,1.0,Home,mobile,0
U00184,77,19,4,796.89,3,4.052631578947368,41.94157894736842,0.21052631578947367,15.0,0.26666666666666666,4.0,1.0,Electronics,mobile,0
U00185,78,19,4,715.0699999999999,5,4.105263157894737,37.635263157894734,0.21052631578947367,20.0,0.2,3.0,0.7680366957081125,Electronics,tablet,0
U00186,71,16,4,850.14,2,4.4375,53.13375,0.25,13.0,0.3076923076923077,4.0,0.5161738066671371,Home,tablet,1
U00187,61,14,3,646.01,4,4.357142857142857,46.14357142857143,0.21428571428571427,11.0,0.2727272727272727,3.0,1.0,Electronics,desktop,0
U00188,63,13,1,126.53,3,4.846153846153846,9.733076923076924,0.07692307692307693,10.0,0.1,1.0,1.0,Home,mobile,0
U00189,50,13,4,768.9499999999999,2,3.8461538461538463,59.14999999999999,0.3076923076923077,8.0,0.5,4.0,1.0,Home,mobile,1
U00190,60,13,3,477.12,3,4.615384615384615,36.70153846153846,0.23076923076923078,12.0,0.25,3.0,0.7984574111334676,Electronics,tablet,0
U00191,56,13,4,840.8199999999999,4,4.3076923076923075,64.67846153846153,0.3076923076923077,11.0,0.36363636363636365,4.0,0.5476558597559525,Home,desktop,1
U00192,35,10,2,379.58000000000004,4,3.5,37.958000000000006,0.2,6.0,0.3333333333333333,2.0,1.0,Home,mobile,0
U00193,46,12,1,135.13,2,3.8333333333333335,11.260833333333332,0.08333333333333333,9.0,0.1111111111111111,1.0,1.0,Electronics,mobile,0
U00194,71,17,3,654.87,5,4.176470588235294,38.521764705882354,0.17647058823529413,19.0,0.15789473684210525,3.0,0.7095759463710355,Home,desktop,0
U00195,39,10,4,842.03,6,3.9,84.203,0.4,8.0,0.5,4.0,0.7504958255644099,Electronics,tablet,1
U00196,78,19,4,796.26,4,4.105263157894737,41.90842105263158,0.21052631578947367,13.0,0.3076923076923077,3.0,0.6955768216411725,Electronics,mobile,0
U00197,73,17,3,387.69,3,4.294117647058823,22.80529411764706,0.17647058823529413,14.0,0.21428571428571427,3.0,0.5801800407542108,Electronics,tablet,0
U00198,86,18,0,0.0,4,4.777777777777778,0.0,0.0,20.0,0.0,,,Electronics,tablet,2
U00199,73,17,4,661.07,5,4.294117647058823,38.8864705882353,0.23529411764705882,12.0,0.3333333333333333,4.0,0.7559259987595867,Electronics,tablet,1
